NRO ACTA;TITULARES ASIGNADOS;FECHA INGRESO;CLASE;DENOMINACION;TIPO DE MARCA;NRO RESOLUCION;ESTADO;VENCIMIENTO
3949749;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;15/10/2020;19;MONOCAPA;Denominativa;3256054;C;11/4/2031
3967612;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;9/12/2020;19;ARGENTUM;Denominativa;3278197;C;4/5/2032
4154655;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;4/8/2022;19;TARFIATO;Denominativa;3342573;C;5/10/2032
4154656;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;4/8/2022;19;TERRA COAT;Denominativa;3509673;C;18/3/2034
4213934;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;3/2/2023;19;LIMO;Denominativa;3494206;C;26/1/2034
4218188;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;21/2/2023;11;FILTRALITE;Denominativa;3497959;C;14/2/2034
4218189;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;21/2/2023;40;FILTRALITE;Denominativa;3497960;C;14/2/2034
4225540;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;10/3/2023;1;HIDROPAINT;Denominativa;3403210;C;14/4/2033
4225541;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;10/3/2023;19;HIDROPAINT;Denominativa;3402892;C;14/4/2033
4259906;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;30/6/2023;19;RAYA-2;Denominativa;3487427;C;26/8/2033
4259907;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;30/6/2023;19;CUARZOPLAST;Denominativa;3487428;C;5/12/2033
4270215;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;1/8/2023;1;ECOLITE;Denominativa;3462521;C;27/1/2034
4270216;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;1/8/2023;19;BIOCLIMA;Denominativa;3462523;C;27/1/2034
4270217;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;1/8/2023;41;CAMPEONATO NACIONAL DE APLICADORES DE REVESTIMIENTOS TARQUINI: FRENTISTAS, PINTORES, REVOCADORES, REVESTIDORES Y RESTAURADORES;Denominativa;3442253;C;27/1/2034
4462342;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;2/2/2025;1;TERRAZAS VERDES;Denominativa;3709897;C;30/4/2035
4462343;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;2/2/2025;19;TERRAZAS VERDES;Denominativa;3709905;C;30/4/2035
4547042;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;26/7/2025;2;TARQUINISHOP;Denominativa;-;-;
4547043;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;26/7/2025;19;TARQUINISHOP;Denominativa;-;-;
4547044;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;26/7/2025;35;TARQUINISHOP;Denominativa;-;-;
4587362;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;9/10/2025;2;TARQUINI;Denominativa;-;-;
4620131;30502401196 MOLINOS TARQUINI S.A.I.C. 100.00%;11/12/2025;19;HIDROSIL;Denominativa;-;-;
